Codsipra,Assentamento,Município,nomePA
PR0384000,SÉTIMO GARIBALDI,TERRA RICA,PASETIMOGARIBALDI
PR0026000,VASTO HORIZONTE,TIBAGI,PAVASTOHORIZONTE
PR0079000,FAZENDA RETIRO,TIBAGI,PAFAZENDARETIRO
PR0149000,BOA VISTA,TIBAGI,PABOAVISTA
PR0161000,MENINO JESUS,TIBAGI,PAMENINOJESUS
PR0200000,RINCÃO,TIBAGI,PARINCAO
PR0228000,RANCHO ALEGRE,TIBAGI,PARANCHOALEGRE
PR0244000,DONA TONIA,TIBAGI,PADONATONIA
PR0331000,NOSSA SENHORA APARECIDA II,TIBAGI,PANOSSASENHORAAPARECIDAII
PR0381000,PROCOPIACK,TRES BARRAS DO PARANA,PAPROCOPIACK
PR0041000,FAZENDA MARRECAS,TURVO,PAFAZENDAMARRECAS
PR0113000,BELA VISTA,VENTANIA,PABELAVISTA
PR0029000,SANTA MADALENA,WENCESLAU BRAZ,PASANTAMADALENA
PR0310000,ESTRELA DE DAVI,XAMBRE,PAESTRELADEDAVI
